,Date (America/Chicago),"Maschhoff_BIBL_C_RM4  Temp shock - color
 (MO1936XX-P6TLS59Q)","Maschhoff_BIBL_C_RM4 Temp (°C) - data
 (MO1936XX-P6TLS59Q)","Maschhoff_BIBL_C_RM4  ReHS - color
 (MO1936XX-P6TLS59Q)","Maschhoff_BIBL_C_RM4  ReHS - data
(MO1936XX-P6TLS59Q)","Maschhoff_BIBL_WC_RM3 Temp shock - color
 (MO201201-JPTKLQ7D)","Maschhoff_BIBL_WC_RM3Temp (°C) - data
 (MO201201-JPTKLQ7D)","Maschhoff_BIBL_WC_RM3 ReHS - color
 (MO201201-JPTKLQ7D)","Maschhoff_BIBL_WC_RM3 ReHS - data
(MO201201-JPTKLQ7D)","Maschhoff_BIBL_EC_RM4 Temp shock - color
 (MO201201-4C7S5KNG)","Maschhoff_BIBL_EC_RM4Temp (°C) - data
 (MO201201-4C7S5KNG)","Maschhoff_BIBL_EC_RM4 ReHS - color
 (MO201201-4C7S5KNG)","Maschhoff_BIBL_EC_RM4 ReHS - data
(MO201201-4C7S5KNG)","Maschhoff_BIBL_EE_RM3 Temp shock - color
 (MO201201-KQQ77D7J)","Maschhoff_BIBL_EE_RM3Temp (°C) - data
 (MO201201-KQQ77D7J)","Maschhoff_BIBL_EE_RM3 ReHS - color
 (MO201201-KQQ77D7J)","Maschhoff_BIBL_EE_RM3 ReHS - data
(MO201201-KQQ77D7J)","Maschhoff_BIBL_WC_RM4 Temp shock - color
 (MO201401-8FBZLPSJ)","Maschhoff_BIBL_WC_RM4Temp (°C) - data
 (MO201401-8FBZLPSJ)","Maschhoff_BIBL_WC_RM4 ReHS - color
 (MO201401-8FBZLPSJ)","Maschhoff_BIBL_WC_RM4 ReHS - data
(MO201401-8FBZLPSJ)","Maschhoff_BIBL_WW_RM4 Temp shock - color
 (MO201401-SWCJ996P)","Maschhoff_BIBL_WW_RM4Temp (°C) - data
 (MO201401-SWCJ996P)","Maschhoff_BIBL_WW_RM4 ReHS - color
 (MO201401-SWCJ996P)","Maschhoff_BIBL_WW_RM4 ReHS - data
(MO201401-SWCJ996P)","Maschhoff_BIBL_WW_RM3 Temp shock - color
 (MO201401-8HZ6MVH5)","Maschhoff_BIBL_WW_RM3Temp (°C) - data
 (MO201401-8HZ6MVH5)","Maschhoff_BIBL_WW_RM3 ReHS - color
 (MO201401-8HZ6MVH5)","Maschhoff_BIBL_WW_RM3 ReHS - data
(MO201401-8HZ6MVH5)","Maschhoff_BIBL_EE_RM4 Temp shock - color
 (MO201401-BGHDKCLJ)","Maschhoff_BIBL_EE_RM4Temp (°C) - data
 (MO201401-BGHDKCLJ)","Maschhoff_BIBL_EE_RM4 ReHS - color
 (MO201401-BGHDKCLJ)","Maschhoff_BIBL_EE_RM4 ReHS - data
(MO201401-BGHDKCLJ)","Maschhoff_BIBL_EC_RM3 Temp shock - color
 (MO202001-DSXZ8WVL)","Maschhoff_BIBL_EC_RM3Temp (°C) - data
 (MO202001-DSXZ8WVL)","Maschhoff_BIBL_EC_RM3 ReHS - color
 (MO202001-DSXZ8WVL)","Maschhoff_BIBL_EC_RM3 ReHS - data
(MO202001-DSXZ8WVL)","Maschhoff_BIBL_C_RM3 Temp shock - color
 (MO202101-CJSR9JKN)","Maschhoff_BIBL_C_RM3Temp (°C) - data
 (MO202101-CJSR9JKN)","Maschhoff_BIBL_C_RM3 ReHS - color
 (MO202101-CJSR9JKN)","Maschhoff_BIBL_C_RM3 ReHS - data
(MO202101-CJSR9JKN)"
203,2021-08-30,green,23.5,green,98.0,green,23.5,green,99.0,green,24.0,green,96.0,green,23.5,green,92.0,green,24.5,green,98.0,green,25.0,green,98.0,green,24.0,green,98.0,green,24.0,green,99.0,green,23.5,green,99.0,green,24.0,green,99.0
204,2021-08-31,yellow,24.0,green,98.0,green,24.5,green,99.0,yellow,24.5,green,97.0,yellow,24.0,green,91.0,green,25.0,green,98.0,yellow,25.5,green,99.0,yellow,25.0,green,98.0,yellow,24.5,green,99.0,yellow,24.5,green,99.0,yellow,24.5,green,99.0
205,2021-09-01,yellow,23.0,green,98.0,yellow,23.5,green,99.0,yellow,23.5,green,97.0,yellow,23.0,green,94.0,yellow,23.5,green,98.0,yellow,24.0,green,97.0,yellow,24.0,green,99.0,yellow,23.0,green,98.0,red,23.0,green,99.0,yellow,24.0,green,99.0
206,2021-09-02,green,21.0,green,99.0,green,21.5,green,98.0,green,21.0,green,99.0,yellow,21.0,green,99.0,green,21.0,green,99.0,green,21.0,green,98.0,yellow,21.5,green,99.0,yellow,21.0,green,99.0,green,21.5,green,98.0,green,22.0,green,98.0
207,2021-09-03,green,21.5,green,99.0,green,21.5,green,99.0,green,21.5,green,99.0,green,21.5,green,96.0,green,21.5,green,99.0,green,21.5,green,99.0,green,21.5,green,99.0,green,21.5,green,98.0,green,22.0,green,99.0,green,22.0,green,98.0
208,2021-09-04,green,22.5,green,98.0,green,22.5,green,99.0,green,22.5,green,99.0,green,22.0,green,99.0,green,23.0,green,98.0,green,23.0,green,99.0,green,22.5,green,99.0,green,22.5,green,99.0,green,22.5,green,99.0,green,23.0,green,98.0
209,2021-09-05,green,23.5,green,99.0,green,24.0,green,99.0,green,23.5,green,96.0,yellow,23.5,green,98.0,green,24.0,green,99.0,green,24.0,green,99.0,yellow,24.0,green,99.0,green,23.5,green,99.0,yellow,24.0,green,99.0,green,24.0,green,99.0
210,2021-09-06,green,23.0,green,99.0,green,23.5,green,99.0,green,23.5,green,99.0,green,23.5,green,98.0,green,23.0,green,98.0,green,23.5,green,99.0,green,23.5,green,98.0,green,23.5,green,98.0,green,24.0,green,99.0,green,24.0,green,99.0
211,2021-09-07,green,24.5,green,99.0,yellow,25.0,green,97.0,green,24.5,green,99.0,yellow,25.0,green,99.0,green,25.0,green,98.0,green,25.0,green,99.0,yellow,25.0,green,99.0,green,24.5,green,99.0,yellow,25.0,green,99.0,yellow,25.5,green,99.0
212,2021-09-08,green,23.5,green,99.0,red,22.0,green,97.0,green,23.5,green,99.0,red,22.0,green,95.0,green,24.5,green,99.0,green,24.5,green,98.0,red,22.5,green,98.0,green,23.5,green,99.0,red,22.0,green,99.0,red,23.0,green,99.0
213,2021-09-09,green,22.5,green,99.0,yellow,19.5,green,99.0,green,22.5,green,98.0,yellow,20.0,green,94.0,green,23.0,green,98.0,green,22.5,green,98.0,yellow,20.0,green,99.0,green,22.5,green,99.0,yellow,20.5,green,99.0,yellow,20.5,green,99.0
214,2021-09-10,green,21.0,green,98.0,green,21.0,green,97.0,green,21.5,green,99.0,green,21.5,green,99.0,green,22.0,green,97.0,yellow,22.0,green,98.0,green,21.0,green,99.0,green,21.5,green,99.0,green,21.5,green,98.0,green,21.5,green,99.0
215,2021-09-11,green,22.5,green,99.0,green,22.5,green,98.0,green,23.0,green,98.0,green,23.0,green,99.0,green,23.0,green,99.0,green,23.5,green,99.0,green,23.0,green,99.0,green,23.5,green,98.0,green,23.0,green,97.0,green,23.0,green,99.0
