,Date (America/Chicago),"Maschhoff_TPLJ_RM1_C Temp shock - color
 (MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM1_C Temp (°C) - data
 (MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM1_C ReHS - color
 (MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM1_C ReHS - data
 (MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM1_E Temp shock - color
 (MO202701-QRND87D5)","Maschhoff_TPLJ_RM1_E Temp (°C) - data
 (MO202701-QRND87D5)","Maschhoff_TPLJ_RM1_E ReHS - color
 (MO202701-QRND87D5)","Maschhoff_TPLJ_RM1_E ReHS - data
 (MO202701-QRND87D5)","Maschhoff_TPLJ_RM1_W Temp shock - color
 (MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM1_W Temp (°C) - data
 (MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM1_W ReHS - color
 (MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM1_W ReHS - data
 (MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM2_C Temp shock - color
 (MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_C Temp (°C) - data
 (MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_C ReHS - color
 (MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_C ReHS - data
 (MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_E Temp shock - color
 (MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM2_E Temp (°C) - data
 (MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM2_E ReHS - color
 (MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM2_E ReHS - data
 (MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM2_W Temp shock - color
 (MO201301-MLJQ4R57)","Maschhoff_TPLJ_RM2_W Temp (°C) - data
 (MO201301-MLJQ4R57)","Maschhoff_TPLJ_RM2_W ReHS - color
 (MO201301-MLJQ4R57)","Maschhoff_TPLJ_RM2_W ReHS - data
 (MO201301-MLJQ4R57)"
74,2021-05-28,green,,green,,green,,green,,green,,green,,green,17.0,green,96.0,green,,green,,green,15.5,green,98.0
75,2021-05-29,green,,green,,green,,green,,green,,green,,green,18.0,green,93.0,yellow,,green,,yellow,18.0,green,97.0
76,2021-05-30,green,,green,,green,,green,,green,,green,,green,19.0,green,93.0,yellow,,green,,green,19.0,green,99.0
77,2021-05-31,yellow,,green,,red,,green,,yellow,,green,,red,20.0,green,96.0,red,,green,,yellow,20.0,green,99.0
78,2021-06-01,red,,green,,red,,green,,red,,green,,yellow,22.0,green,99.0,red,,green,,yellow,22.0,green,99.0
79,2021-06-02,red,,green,,red,,green,,red,,green,,red,22.5,green,98.0,red,,green,,yellow,22.5,green,98.0
80,2021-06-03,yellow,,green,,yellow,,green,,yellow,,green,,yellow,24.5,green,99.0,yellow,,green,,yellow,25.0,green,99.0
81,2021-06-04,yellow,,green,,red,,green,,yellow,,green,,yellow,27.5,green,99.0,yellow,,green,,yellow,27.5,green,99.0
82,2021-06-05,yellow,,green,,red,,green,,yellow,,green,,yellow,28.0,green,99.0,yellow,,green,,yellow,28.5,green,98.0
83,2021-06-06,green,,green,,green,,green,,green,,green,,green,26.0,green,96.0,green,,green,,green,26.5,green,99.0
84,2021-06-07,yellow,,green,,yellow,,green,,yellow,,green,,yellow,27.0,green,96.0,yellow,,green,,yellow,27.5,green,99.0
85,2021-06-08,yellow,,green,,red,,green,,yellow,,green,,red,27.0,green,99.0,red,,green,,red,27.5,green,99.0
86,2021-06-09,red,,green,,red,,green,,yellow,,green,,red,27.5,green,99.0,red,,green,,red,28.0,green,99.0
87,2021-06-10,yellow,,green,,yellow,,green,,yellow,,green,,yellow,29.0,green,98.0,yellow,,green,,yellow,29.5,green,99.0
88,2021-06-11,red,,green,,red,,green,,yellow,,green,,red,25.5,green,99.0,red,,green,,yellow,26.0,green,99.0
89,2021-06-12,red,,green,,red,,green,,red,,green,,red,24.0,green,98.0,red,,green,,red,24.5,green,99.0
