,Date (America/Chicago),"Maschhoff_4NL2_RM1_C Temp shock - color
 (MO202201-5PKPG4SX)","Maschhoff_4NL2_RM1_C Temp (°C) - data
 (MO202201-5PKPG4SX)","Maschhoff_4NL2_RM1_C ReHS - color
 (MO202201-5PKPG4SX)","Maschhoff_4NL2_RM1_C ReHS - data
 (MO202201-5PKPG4SX)","Maschhoff_4NL2_RM1_E Temp shock - color
 (MO201901-S5WWLTCR)","Maschhoff_4NL2_RM1_E Temp (°C) - data
 (MO201901-S5WWLTCR)","Maschhoff_4NL2_RM1_E ReHS - color
 (MO201901-S5WWLTCR)","Maschhoff_4NL2_RM1_E ReHS - data
 (MO201901-S5WWLTCR)","Maschhoff_4NL2_RM1_W Temp shock - color
 (MO202101-C6RVS5CD)","Maschhoff_4NL2_RM1_W Temp (°C) - data
 (MO202101-C6RVS5CD)","Maschhoff_4NL2_RM1_W ReHS - color
 (MO202101-C6RVS5CD)","Maschhoff_4NL2_RM1_W ReHS - data
 (MO202101-C6RVS5CD)","Maschhoff_4NL2_RM2_C Temp shock - color
 (MO202101-XQTNSFJB)","Maschhoff_4NL2_RM2_C Temp (°C) - data
 (MO202101-XQTNSFJB)","Maschhoff_4NL2_RM2_C ReHS - color
 (MO202101-XQTNSFJB)","Maschhoff_4NL2_RM2_C ReHS - data
 (MO202101-XQTNSFJB)","Maschhoff_4NL2_RM2_E Temp shock - color
 (MO202101-LCCRBFFN)","Maschhoff_4NL2_RM2_E Temp (°C) - data
 (MO202101-LCCRBFFN)","Maschhoff_4NL2_RM2_E ReHS - color
 (MO202101-LCCRBFFN)","Maschhoff_4NL2_RM2_E ReHS - data
 (MO202101-LCCRBFFN)","Maschhoff_4NL2_RM2_W Temp shock - color
 (MO201901-9JN9RLN4)","Maschhoff_4NL2_RM2_W Temp (°C) - data
 (MO201901-9JN9RLN4)","Maschhoff_4NL2_RM2_W ReHS - color
 (MO201901-9JN9RLN4)","Maschhoff_4NL2_RM2_W ReHS - data
 (MO201901-9JN9RLN4)"
93,2021-03-24,green,13.0,green,99.0,green,13.5,green,99.0,green,13.0,green,99.0,green,30.0,green,90.0,yellow,,green,,green,29.5,green,89.0
94,2021-03-25,green,12.0,green,99.0,green,12.0,green,99.0,green,11.5,green,98.0,yellow,31.5,green,91.0,yellow,,green,,yellow,30.5,green,78.0
95,2021-03-26,green,12.0,green,98.0,green,11.5,green,99.0,green,11.5,green,99.0,green,31.0,green,88.0,green,,green,,green,30.0,green,72.0
96,2021-03-27,green,13.5,green,98.0,green,13.5,green,99.0,green,13.0,green,97.0,green,31.0,green,87.0,green,,green,,blue,30.5,blue,
97,2021-03-28,green,12.0,green,98.0,green,11.5,green,98.0,green,12.0,green,99.0,yellow,31.5,green,88.0,green,,green,,yellow,30.5,blue,
98,2021-03-29,green,14.0,green,99.0,green,14.0,green,96.0,green,13.5,green,99.0,yellow,31.5,green,96.0,green,,green,,green,30.5,green,74.0
99,2021-03-30,yellow,18.5,green,98.0,yellow,17.5,green,99.0,yellow,18.5,green,98.0,yellow,30.5,green,93.0,green,,green,,yellow,30.0,green,64.0
100,2021-03-31,green,30.0,green,97.0,green,28.0,green,99.0,green,29.5,green,95.0,yellow,31.5,green,95.0,green,,green,,yellow,31.0,green,75.0
101,2021-04-01,green,31.0,green,88.0,green,30.0,green,98.0,green,29.5,green,73.0,yellow,31.0,green,98.0,green,,green,,yellow,30.5,green,80.0
102,2021-04-02,green,30.5,green,97.0,green,29.5,green,99.0,green,29.0,green,71.0,yellow,31.0,green,97.0,green,,green,,green,30.5,green,82.0
103,2021-04-03,green,29.5,green,91.0,green,29.0,green,92.0,green,28.5,green,66.0,green,30.0,green,98.0,green,,green,,green,30.0,green,80.0
104,2021-04-04,green,29.0,green,76.0,green,29.0,green,76.0,green,28.5,red,36.0,green,29.5,green,93.0,green,,green,,green,29.5,green,80.0
105,2021-04-05,green,29.0,green,92.0,green,29.5,green,89.0,green,28.5,yellow,51.0,green,29.0,green,93.0,green,,green,,green,29.5,green,77.0
106,2021-04-06,green,29.0,green,79.0,green,29.5,green,80.0,green,28.5,yellow,45.0,green,28.5,green,88.0,green,,green,,green,29.5,green,77.0
107,2021-04-07,green,29.0,green,84.0,green,29.0,green,72.0,green,28.5,green,69.0,green,28.0,green,94.0,green,,green,,green,29.0,green,79.0
108,2021-04-08,green,30.0,green,90.0,green,29.0,green,79.0,green,28.5,green,80.0,green,28.0,green,93.0,green,,green,,green,28.5,green,82.0
109,2021-04-09,green,30.0,green,95.0,green,29.0,green,81.0,green,28.5,green,81.0,green,27.5,green,96.0,green,,green,,green,28.0,green,87.0
110,2021-04-10,green,30.0,green,99.0,green,29.0,green,91.0,green,28.0,green,91.0,green,26.5,green,97.0,green,,green,,green,27.5,green,83.0
111,2021-04-11,green,30.0,green,96.0,green,29.0,green,91.0,green,28.5,green,95.0,green,26.5,green,99.0,green,,green,,green,27.5,green,86.0
112,2021-04-12,green,29.5,green,98.0,green,28.5,green,96.0,green,28.0,green,94.0,yellow,26.5,green,99.0,green,,green,,green,27.5,green,88.0
113,2021-04-13,green,29.5,green,98.0,green,28.5,green,96.0,green,28.0,green,92.0,green,27.0,green,99.0,green,,green,,green,27.0,green,93.0
114,2021-04-14,green,29.5,green,97.0,green,29.0,green,96.0,green,28.0,green,95.0,yellow,26.5,green,98.0,green,,green,,green,27.0,green,89.0
115,2021-04-15,green,29.0,green,97.0,green,28.5,green,96.0,green,27.5,green,93.0,green,24.5,green,99.0,green,,green,,green,26.5,green,83.0
116,2021-04-16,green,28.0,green,93.0,green,27.5,green,94.0,green,27.0,green,92.0,green,25.0,green,97.0,green,,green,,green,27.0,green,77.0
117,2021-04-17,green,27.0,green,94.0,green,27.0,green,89.0,green,26.5,green,95.0,green,25.0,green,98.0,green,,green,,green,26.5,green,76.0
118,2021-04-18,green,27.0,green,93.0,green,27.0,green,88.0,green,26.5,green,96.0,green,25.0,green,97.0,green,,green,,green,26.5,green,77.0
119,2021-04-19,green,27.0,green,97.0,green,27.0,green,88.0,green,26.0,green,97.0,yellow,23.5,green,99.0,green,,green,,green,25.5,green,79.0
120,2021-04-20,green,27.0,green,98.0,green,27.0,green,90.0,green,26.0,green,96.0,yellow,23.5,green,99.0,green,,green,,green,25.5,green,80.0
