,Date (America/Chicago),"Barn 1, Room 1 Temperature shock - color","Barn 1, Room 1 Temperature - data","Barn 1, Room 1 ReHS - color","Barn 1, Room 1 ReHS - data","Barn 1, Room 2 Temperature shock - color","Barn 1, Room 2 Temperature - data","Barn 1, Room 2 ReHS - color","Barn 1, Room 2 ReHS - data"
351,2021-12-07,green,18.76,green,66.0,green,19.39,yellow,53.0
352,2021-12-08,green,19.06,yellow,51.0,green,19.57,yellow,52.0
353,2021-12-09,blue,20.23,blue,55.0,blue,20.25,blue,55.0
354,2021-12-10,green,20.64,yellow,56.0,yellow,20.61,yellow,56.0
355,2021-12-11,yellow,19.72,green,75.0,green,19.76,red,37.0
356,2021-12-12,green,19.75,green,90.0,green,19.91,yellow,48.0
357,2021-12-13,green,19.98,green,94.0,yellow,19.96,green,88.0
358,2021-12-14,green,20.58,green,97.0,green,20.48,green,94.0
359,2021-12-15,green,21.83,green,94.0,green,21.82,green,94.0
360,2021-12-16,green,19.9,green,96.0,green,20.3,green,96.0
361,2021-12-17,green,18.61,green,97.0,green,19.79,green,97.0
362,2021-12-18,green,18.67,green,97.0,green,19.76,green,96.0
363,2021-12-19,green,18.38,green,97.0,green,19.46,green,97.0
364,2021-12-20,green,18.68,green,96.0,green,19.7,green,99.0
365,2021-12-21,green,18.75,green,96.0,green,19.62,green,97.0
366,2021-12-22,green,18.55,green,98.0,green,19.35,green,96.0
367,2021-12-23,green,19.37,green,97.0,green,19.64,green,96.0
368,2021-12-24,green,20.38,green,97.0,green,20.52,green,94.0
369,2021-12-25,green,19.94,green,94.0,green,20.02,green,93.0
370,2021-12-26,green,19.52,green,97.0,green,19.78,green,96.0
371,2021-12-27,green,19.66,green,96.0,green,19.72,green,97.0
372,2021-12-28,green,18.73,green,96.0,green,19.32,green,93.0
373,2021-12-29,yellow,18.95,green,97.0,green,19.11,green,97.0
374,2021-12-30,yellow,19.11,green,96.0,green,19.11,green,96.0
375,2021-12-31,green,19.3,green,96.0,green,19.55,green,93.0
376,2022-01-01,yellow,17.88,green,96.0,green,19.34,green,96.0
377,2022-01-02,red,18.28,green,96.0,green,18.83,green,96.0
378,2022-01-03,yellow,19.14,green,97.0,green,19.12,green,94.0
379,2022-01-04,red,19.71,green,96.0,green,19.02,green,94.0
380,2022-01-05,red,19.06,green,97.0,green,18.28,green,96.0
381,2022-01-06,red,19.08,green,97.0,green,18.26,green,94.0
382,2022-01-07,red,15.87,green,96.0,green,18.38,green,97.0
383,2022-01-08,red,13.49,green,97.0,green,18.47,green,96.0
384,2022-01-09,yellow,13.7,green,96.0,green,18.57,green,91.0
385,2022-01-10,yellow,13.94,green,97.0,green,18.54,green,94.0
386,2022-01-11,yellow,14.01,green,96.0,green,15.77,green,97.0
387,2022-01-12,green,13.16,green,96.0,green,12.22,green,96.0
388,2022-01-13,yellow,20.09,green,96.0,green,12.27,green,96.0
389,2022-01-14,green,20.78,green,97.0,green,12.63,green,96.0
