,Date (America/Chicago),"Maschhoff_TPLJ_RM2_C Temp shock - color
 (MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_CTemp (°C) - data
 (MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_C ReHS - color
 (MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_C ReHS - data
(MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_W Temp shock - color
 (MO201301-MLJQ4R57)","Maschhoff_TPLJ_RM2_WTemp (°C) - data
 (MO201301-MLJQ4R57)","Maschhoff_TPLJ_RM2_W ReHS - color
 (MO201301-MLJQ4R57)","Maschhoff_TPLJ_RM2_W ReHS - data
(MO201301-MLJQ4R57)","Maschhoff_TPLJ_RM1_W Temp shock - color
 (MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM1_WTemp (°C) - data
 (MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM1_W ReHS - color
 (MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM1_W ReHS - data
(MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM1_C Temp shock - color
 (MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM1_CTemp (°C) - data
 (MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM1_C ReHS - color
 (MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM1_C ReHS - data
(MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM2_E Temp shock - color
 (MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM2_ETemp (°C) - data
 (MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM2_E ReHS - color
 (MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM2_E ReHS - data
(MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM1_E Temp shock - color
 (MO202701-QRND87D5)","Maschhoff_TPLJ_RM1_ETemp (°C) - data
 (MO202701-QRND87D5)","Maschhoff_TPLJ_RM1_E ReHS - color
 (MO202701-QRND87D5)","Maschhoff_TPLJ_RM1_E ReHS - data
(MO202701-QRND87D5)"
167,2021-08-29,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
168,2021-08-30,green,27.5,blue,,green,27.5,blue,,green,28.5,blue,,yellow,27.5,blue,,yellow,28.0,blue,,green,25.5,blue,
169,2021-08-31,green,25.5,green,96.0,green,25.5,green,97.0,green,26.0,green,88.0,green,24.5,green,89.0,yellow,26.0,green,83.0,green,25.0,green,74.0
170,2021-09-01,green,26.5,green,97.0,green,26.0,green,98.0,green,25.5,green,90.0,green,24.0,green,95.0,green,27.5,green,80.0,green,25.0,green,68.0
171,2021-09-02,green,25.5,green,96.0,green,26.0,green,98.0,green,26.0,green,84.0,green,23.5,green,98.0,green,25.5,green,72.0,green,25.0,green,67.0
172,2021-09-03,green,25.5,green,98.0,green,26.0,green,98.0,green,26.0,green,84.0,green,24.0,green,99.0,green,26.0,green,73.0,green,25.0,yellow,56.0
173,2021-09-04,green,25.5,green,97.0,green,26.0,green,98.0,green,26.0,green,79.0,green,24.5,green,96.0,green,25.5,green,79.0,green,25.0,yellow,50.0
174,2021-09-05,green,26.0,green,97.0,green,27.0,green,98.0,green,26.5,green,80.0,yellow,24.5,green,96.0,yellow,26.5,green,79.0,yellow,26.0,green,64.0
175,2021-09-06,green,27.0,green,97.0,green,27.5,green,96.0,green,27.0,green,83.0,green,26.0,green,98.0,green,27.5,green,76.0,green,26.5,green,64.0
176,2021-09-07,green,26.5,green,96.0,green,26.5,green,92.0,green,26.5,green,90.0,yellow,25.5,green,98.0,green,27.0,green,81.0,green,25.5,green,65.0
177,2021-09-08,green,25.0,green,90.0,green,26.0,green,94.0,yellow,25.0,green,72.0,yellow,24.0,green,94.0,green,26.5,yellow,55.0,green,25.0,yellow,54.0
178,2021-09-09,green,25.0,green,84.0,green,25.5,green,93.0,green,24.5,green,69.0,yellow,23.5,green,93.0,green,26.5,yellow,45.0,green,24.5,yellow,46.0
179,2021-09-10,green,26.0,green,75.0,yellow,26.5,green,90.0,yellow,26.0,green,73.0,yellow,25.0,green,95.0,green,26.5,red,36.0,yellow,25.5,red,36.0
180,2021-09-11,green,27.5,green,81.0,green,27.5,green,94.0,green,27.5,green,80.0,green,26.5,green,97.0,green,28.0,yellow,54.0,green,26.5,green,66.0
181,2021-09-12,green,26.0,green,88.0,green,25.5,green,98.0,green,25.5,green,92.0,yellow,24.5,green,99.0,yellow,26.5,yellow,52.0,green,24.5,green,68.0
182,2021-09-13,green,26.0,green,85.0,green,26.0,green,94.0,yellow,26.0,green,90.0,green,24.5,green,98.0,green,26.5,yellow,56.0,green,24.5,green,72.0
183,2021-09-14,green,25.0,green,82.0,green,25.0,green,94.0,green,24.5,green,93.0,yellow,23.5,green,99.0,yellow,25.5,yellow,54.0,yellow,23.5,yellow,55.0
184,2021-09-15,green,25.5,green,80.0,green,26.0,green,86.0,green,25.0,green,81.0,yellow,24.0,green,92.0,yellow,26.0,yellow,56.0,green,24.0,green,64.0
185,2021-09-16,green,27.5,green,84.0,green,27.5,green,95.0,green,27.0,green,94.0,green,26.5,green,98.0,green,27.5,green,69.0,green,26.0,yellow,51.0
186,2021-09-17,green,25.5,green,83.0,green,25.0,green,88.0,green,24.5,green,88.0,green,24.0,green,95.0,green,26.0,yellow,52.0,green,23.5,yellow,46.0
187,2021-09-18,green,26.0,green,74.0,green,26.5,green,78.0,green,25.5,green,77.0,green,25.0,green,89.0,green,26.5,yellow,52.0,green,25.0,red,32.0
188,2021-09-19,green,28.0,green,84.0,green,28.0,green,95.0,green,27.5,green,96.0,green,27.5,green,93.0,green,28.5,yellow,48.0,green,26.5,red,33.0
189,2021-09-20,green,25.5,green,77.0,green,25.0,green,93.0,green,24.0,green,88.0,green,24.0,green,97.0,green,26.5,yellow,43.0,green,23.5,red,22.0
190,2021-09-21,green,23.0,green,66.0,green,23.5,green,72.0,green,22.5,green,66.0,yellow,21.5,green,88.0,yellow,24.0,yellow,44.0,green,22.0,red,25.0
191,2021-09-22,green,22.5,yellow,48.0,green,23.0,green,69.0,green,22.5,green,68.0,yellow,21.5,green,76.0,yellow,24.5,red,30.0,yellow,22.0,red,26.0
192,2021-09-23,green,23.5,yellow,53.0,yellow,24.0,green,72.0,yellow,23.5,yellow,55.0,yellow,22.5,green,83.0,yellow,25.0,red,33.0,green,22.5,red,23.0
193,2021-09-24,green,23.0,yellow,55.0,green,23.0,green,90.0,green,22.0,green,77.0,yellow,21.0,green,91.0,yellow,24.0,red,31.0,green,21.5,red,22.0
194,2021-09-25,green,23.0,yellow,55.0,green,24.0,green,79.0,yellow,23.5,yellow,52.0,yellow,22.5,green,86.0,green,24.5,red,35.0,green,22.5,red,24.0
195,2021-09-26,yellow,25.0,yellow,51.0,yellow,25.0,green,92.0,red,24.5,green,91.0,red,23.5,green,94.0,yellow,25.5,red,22.0,yellow,24.0,red,28.0
196,2021-09-27,yellow,25.0,green,63.0,red,25.0,green,84.0,red,25.0,green,74.0,red,23.5,green,90.0,red,25.0,red,31.0,red,24.0,red,29.0
197,2021-09-28,yellow,26.0,yellow,55.0,yellow,26.0,green,89.0,yellow,26.0,green,75.0,yellow,25.0,green,92.0,yellow,26.0,red,34.0,red,24.5,red,29.0
198,2021-09-29,green,26.0,green,69.0,green,26.0,green,97.0,green,25.5,green,86.0,green,25.0,green,85.0,green,26.0,red,32.0,green,24.5,red,24.0
199,2021-09-30,green,26.0,green,70.0,green,26.0,green,92.0,green,25.5,green,75.0,green,25.0,green,84.0,yellow,26.0,red,31.0,green,24.5,red,17.0
200,2021-10-01,green,26.0,green,64.0,green,26.0,green,90.0,yellow,24.5,green,81.0,green,24.5,green,87.0,green,26.0,red,30.0,green,23.5,red,14.0
201,2021-10-02,green,24.5,yellow,51.0,green,24.5,green,73.0,green,23.0,green,75.0,green,22.5,green,83.0,green,25.5,red,24.0,green,22.5,red,8.0
202,2021-10-03,green,24.0,red,32.0,yellow,24.0,green,71.0,yellow,23.5,green,76.0,red,22.5,green,82.0,yellow,24.5,red,20.0,yellow,22.0,red,11.0
203,2021-10-04,yellow,22.5,red,33.0,yellow,23.0,yellow,47.0,yellow,22.5,yellow,48.0,red,21.5,green,82.0,yellow,22.5,red,20.0,yellow,21.5,red,18.0
204,2021-10-05,green,22.5,red,32.0,yellow,23.0,yellow,46.0,yellow,22.5,yellow,55.0,yellow,21.0,green,87.0,green,22.0,red,18.0,green,21.0,red,19.0
205,2021-10-06,green,22.5,red,32.0,green,23.5,green,81.0,yellow,22.5,green,76.0,yellow,21.5,green,93.0,green,22.5,red,18.0,green,21.5,red,24.0
206,2021-10-07,green,23.5,yellow,53.0,yellow,24.5,green,89.0,yellow,23.5,green,89.0,yellow,23.0,green,95.0,yellow,23.0,red,22.0,green,22.5,red,23.0
207,2021-10-08,green,24.0,yellow,53.0,green,24.5,green,88.0,green,24.0,green,77.0,green,23.0,green,94.0,yellow,24.0,red,27.0,yellow,23.0,red,33.0
208,2021-10-09,green,24.0,yellow,56.0,green,25.0,green,93.0,green,24.5,green,90.0,green,24.0,green,98.0,green,23.0,red,26.0,green,23.0,red,36.0
209,2021-10-10,green,22.5,yellow,52.0,green,23.0,green,92.0,green,21.5,green,86.0,yellow,21.0,green,99.0,yellow,22.5,red,28.0,green,21.0,red,37.0
210,2021-10-11,green,21.5,yellow,57.0,yellow,21.5,green,81.0,yellow,21.0,green,78.0,red,19.0,green,96.0,yellow,21.0,red,33.0,yellow,19.5,yellow,52.0
211,2021-10-12,green,21.5,yellow,53.0,green,22.0,green,82.0,green,21.5,green,78.0,green,20.0,green,90.0,yellow,21.5,red,34.0,green,20.5,yellow,52.0
212,2021-10-13,green,23.0,green,72.0,green,23.0,green,95.0,green,22.0,green,91.0,yellow,21.0,green,97.0,yellow,23.0,red,36.0,green,21.0,yellow,55.0
213,2021-10-14,green,20.5,green,74.0,green,21.0,green,90.0,green,19.5,green,84.0,yellow,17.5,green,96.0,yellow,20.5,red,31.0,green,19.0,yellow,52.0
214,2021-10-15,green,20.5,green,80.0,green,20.5,green,91.0,green,19.0,green,71.0,yellow,17.5,green,97.0,yellow,20.5,yellow,55.0,green,18.5,green,68.0
215,2021-10-16,green,20.0,green,77.0,yellow,20.5,green,87.0,yellow,19.0,green,77.0,yellow,18.0,green,95.0,yellow,20.5,yellow,53.0,yellow,19.0,green,71.0
216,2021-10-17,green,21.0,green,75.0,green,21.5,green,89.0,yellow,20.0,green,88.0,yellow,19.0,green,92.0,yellow,21.0,yellow,53.0,green,19.5,green,77.0
217,2021-10-18,green,22.0,green,80.0,green,22.5,green,96.0,green,21.0,green,92.0,green,21.0,green,98.0,yellow,22.5,yellow,55.0,green,20.5,green,75.0
218,2021-10-19,yellow,22.5,green,88.0,green,23.5,green,98.0,green,22.0,green,96.0,green,22.0,green,94.0,yellow,22.5,green,71.0,green,21.0,yellow,54.0
219,2021-10-20,green,21.0,green,89.0,green,21.5,green,99.0,green,20.5,green,98.0,yellow,19.5,green,98.0,yellow,20.5,green,66.0,green,20.0,yellow,55.0
220,2021-10-21,green,19.0,green,84.0,green,18.5,green,92.0,green,16.5,green,87.0,green,16.0,green,96.0,yellow,19.5,green,68.0,green,17.5,green,70.0
221,2021-10-22,green,18.5,green,72.0,green,19.5,green,78.0,green,18.5,green,72.0,green,16.5,green,92.0,green,19.5,yellow,55.0,green,18.0,yellow,49.0
222,2021-10-23,green,19.0,yellow,54.0,green,20.0,green,78.0,green,21.0,green,70.0,green,17.0,green,87.0,green,20.0,red,29.0,green,17.0,red,36.0
223,2021-10-24,green,19.0,green,68.0,yellow,20.0,green,76.0,green,19.5,green,77.0,green,17.0,green,90.0,green,19.5,red,28.0,green,17.0,red,34.0
224,2021-10-25,green,19.5,green,68.0,yellow,20.0,green,68.0,green,20.0,green,84.0,green,18.5,green,92.0,green,19.5,red,27.0,green,17.0,red,27.0
